"CY","zip","Daily.kgH2","country"
2030,90755,1670,"USA"
2018,90802,40,"USA"
2019,90802,2290,"USA"
2020,90802,2270,"USA"
2021,90802,2910,"USA"
2022,90802,3760,"USA"
2023,90802,4810,"USA"
2024,90802,6050,"USA"
2025,90802,7490,"USA"
2026,90802,9110,"USA"
2027,90802,10950,"USA"
2028,90802,12910,"USA"
2029,90802,15070,"USA"
2030,90802,17300,"USA"
2018,90808,0,"USA"
2019,90808,20,"USA"
2020,90808,50,"USA"
2021,90808,100,"USA"
2022,90808,160,"USA"
2023,90808,240,"USA"
2024,90808,340,"USA"
2025,90808,440,"USA"
2026,90808,570,"USA"
2027,90808,710,"USA"
2028,90808,870,"USA"
2029,90808,1000,"USA"
2030,90808,960,"USA"
2018,91006,0,"USA"
2019,91006,20,"USA"
2020,91006,50,"USA"
2021,91006,100,"USA"
2022,91006,160,"USA"
2023,91006,240,"USA"
2024,91006,340,"USA"
2025,91006,440,"USA"
2026,91006,570,"USA"
2027,91006,710,"USA"
2028,91006,870,"USA"
2029,91006,1040,"USA"
2030,91006,1160,"USA"
2018,91016,0,"USA"
2019,91016,20,"USA"
2020,91016,50,"USA"
2021,91016,100,"USA"
2022,91016,160,"USA"
2023,91016,240,"USA"
2024,91016,340,"USA"
2025,91016,440,"USA"
2026,91016,570,"USA"
2027,91016,710,"USA"
2028,91016,870,"USA"
2029,91016,1040,"USA"
2030,91016,1160,"USA"
2018,91303,0,"USA"
2019,91303,0,"USA"
2020,91303,0,"USA"
2021,91303,0,"USA"
2022,91303,15,"USA"
2023,91303,52.5,"USA"
2024,91303,97.5,"USA"
2025,91303,150,"USA"
2026,91303,210,"USA"
2027,91303,277.5,"USA"
2028,91303,352.5,"USA"
2029,91303,427.5,"USA"
2030,91303,510,"USA"
2018,91311,0,"USA"
2019,91311,0,"USA"
2020,91311,0,"USA"
2021,91311,0,"USA"
2022,91311,0,"USA"
2023,91311,21.5827338129496,"USA"
2024,91311,118.705035971223,"USA"
2025,91311,183.453237410072,"USA"
2026,91311,312.94964028777,"USA"
2027,91311,464.028776978417,"USA"
2028,91311,625.89928057554,"USA"
2029,91311,809.352517985611,"USA"
2030,91311,992.805755395683,"USA"
2018,91320,0,"USA"
2019,91320,0,"USA"
2020,91320,0,"USA"
2021,91320,0,"USA"
2022,91320,15,"USA"
2023,91320,52.5,"USA"
2024,91320,97.5,"USA"
2025,91320,150,"USA"
2026,91320,210,"USA"
2027,91320,277.5,"USA"
2028,91320,352.5,"USA"
2029,91320,427.5,"USA"
2030,91320,510,"USA"
2018,91342,0,"USA"
2019,91342,0,"USA"
2020,91342,0,"USA"
2021,91342,0,"USA"
2022,91342,15,"USA"
2023,91342,52.5,"USA"
2024,91342,97.5,"USA"
2025,91342,150,"USA"
2026,91342,210,"USA"
2027,91342,277.5,"USA"
2028,91342,352.5,"USA"
2029,91342,427.5,"USA"
2030,91342,510,"USA"
2018,91343,0,"USA"
2019,91343,0,"USA"
2020,91343,0,"USA"
2021,91343,0,"USA"
2022,91343,15,"USA"
2023,91343,52.5,"USA"
2024,91343,97.5,"USA"
2025,91343,150,"USA"
2026,91343,210,"USA"
2027,91343,277.5,"USA"
2028,91343,352.5,"USA"
2029,91343,427.5,"USA"
2030,91343,510,"USA"
2018,91352,0,"USA"
2019,91352,0,"USA"
2020,91352,0,"USA"
2021,91352,0,"USA"
2022,91352,15,"USA"
2023,91352,95.6654676258993,"USA"
2024,91352,334.910071942446,"USA"
2025,91352,516.906474820144,"USA"
2026,91352,835.89928057554,"USA"
2027,91352,1205.55755395683,"USA"
2028,91352,1604.29856115108,"USA"
2029,91352,2046.20503597122,"USA"
2030,91352,2495.61151079137,"USA"
2018,91355,0,"USA"
2019,91355,0,"USA"
2020,91355,0,"USA"
2021,91355,0,"USA"
2022,91355,0,"USA"
2023,91355,21.5827338129496,"USA"
2024,91355,118.705035971223,"USA"
2025,91355,183.453237410072,"USA"
2026,91355,312.94964028777,"USA"
2027,91355,464.028776978417,"USA"
2028,91355,625.89928057554,"USA"
2029,91355,809.352517985611,"USA"
2030,91355,992.805755395683,"USA"
2018,91406,0,"USA"
2019,91406,0,"USA"
2020,91406,0,"USA"
2021,91406,0,"USA"
2022,91406,15,"USA"
2023,91406,52.5,"USA"
2024,91406,97.5,"USA"
2025,91406,150,"USA"
2026,91406,210,"USA"
2027,91406,277.5,"USA"
2028,91406,352.5,"USA"
2029,91406,427.5,"USA"
2030,91406,510,"USA"
2018,91505,0,"USA"
2019,91505,20,"USA"
2020,91505,50,"USA"
2021,91505,100,"USA"
2022,91505,160,"USA"
2023,91505,240,"USA"
2024,91505,340,"USA"
2025,91505,440,"USA"
2026,91505,570,"USA"
2027,91505,710,"USA"
2028,91505,870,"USA"
2029,91505,1000,"USA"
2030,91505,960,"USA"
2018,91605,0,"USA"
2019,91605,20,"USA"
2020,91605,50,"USA"
2021,91605,100,"USA"
2022,91605,160,"USA"
2023,91605,240,"USA"
2024,91605,340,"USA"
2025,91605,440,"USA"
2026,91605,570,"USA"
2027,91605,710,"USA"
2028,91605,870,"USA"
2029,91605,1040,"USA"
2030,91605,1160,"USA"
2018,91706,0,"USA"
2019,91706,0,"USA"
2020,91706,0,"USA"
2021,91706,0,"USA"
2022,91706,15,"USA"
2023,91706,52.5,"USA"
2024,91706,97.5,"USA"
2025,91706,150,"USA"
2026,91706,210,"USA"
2027,91706,277.5,"USA"
2028,91706,352.5,"USA"
2029,91706,427.5,"USA"
2030,91706,510,"USA"
2018,91731,0,"USA"
2019,91731,0,"USA"
2020,91731,0,"USA"
2021,91731,0,"USA"
2022,91731,0,"USA"
2023,91731,21.5827338129496,"USA"
2024,91731,118.705035971223,"USA"
2025,91731,183.453237410072,"USA"
2026,91731,312.94964028777,"USA"
2027,91731,464.028776978417,"USA"
2028,91731,625.89928057554,"USA"
2029,91731,809.352517985611,"USA"
2030,91731,992.805755395683,"USA"
2018,91748,0,"USA"
2019,91748,0,"USA"
2020,91748,0,"USA"
2021,91748,0,"USA"
2022,91748,15,"USA"
2023,91748,52.5,"USA"
2024,91748,97.5,"USA"
2025,91748,150,"USA"
2026,91748,210,"USA"
2027,91748,277.5,"USA"
2028,91748,352.5,"USA"
2029,91748,427.5,"USA"
2030,91748,510,"USA"
2018,91761,0,"USA"
2019,91761,0,"USA"
2020,91761,0,"USA"
2021,91761,0,"USA"
2022,91761,30,"USA"
