CY,MY,FCET_type,Population.NoLoss,Population.Survived,Fleet,Hub,Age,Survival
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - VENTURA 11485,UPS CC - VENTURA 11485,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - GOLETA 11489,UPS CC - GOLETA 11489,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,3,0.97
2022,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,4,0.96
2023,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,5,0.95
2024,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,6,0.94
2025,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,7,0.93
2026,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,8,0.92
2027,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,9,0.89
2028,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,10,0.86
2029,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,11,0.8
2030,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - NEWBURY PARK 11481,UPS CC - NEWBURY PARK 11481,12,0.75
2018,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,0,1
2019,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,1,0.99
2020,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,2,0.98
2021,2018,MD Package Delivery,0,0,Delivery Fleet at UPS CC - SYLMAR 11031,UPS CC - SYLMAR 11031,3,0.97
