"CY","zip","Daily.kgH2","country"
2030,90670,97.5,"USA"
2018,90703,0,"USA"
2019,90703,0,"USA"
2020,90703,0,"USA"
2021,90703,0,"USA"
2022,90703,0,"USA"
2023,90703,0,"USA"
2024,90703,0,"USA"
2025,90703,7.5,"USA"
2026,90703,22.5,"USA"
2027,90703,37.5,"USA"
2028,90703,52.5,"USA"
2029,90703,75,"USA"
2030,90703,97.5,"USA"
2018,90704,0,"USA"
2019,90704,0,"USA"
2020,90704,0,"USA"
2021,90704,0,"USA"
2022,90704,0,"USA"
2023,90704,0,"USA"
2024,90704,0,"USA"
2025,90704,7.5,"USA"
2026,90704,22.5,"USA"
2027,90704,37.5,"USA"
2028,90704,52.5,"USA"
2029,90704,75,"USA"
2030,90704,97.5,"USA"
2018,90731,10,"USA"
2019,90731,70,"USA"
2020,90731,70,"USA"
2021,90731,240,"USA"
2022,90731,460,"USA"
2023,90731,730,"USA"
2024,90731,1040,"USA"
2025,90731,1400,"USA"
2026,90731,1820,"USA"
2027,90731,2290,"USA"
2028,90731,2800,"USA"
2029,90731,3320,"USA"
2030,90731,3930,"USA"
2018,90755,0,"USA"
2019,90755,0,"USA"
2020,90755,10,"USA"
2021,90755,20,"USA"
2022,90755,40,"USA"
2023,90755,60,"USA"
2024,90755,80,"USA"
2025,90755,117.5,"USA"
2026,90755,162.5,"USA"
2027,90755,217.5,"USA"
2028,90755,272.5,"USA"
2029,90755,335,"USA"
2030,90755,407.5,"USA"
2018,90802,10,"USA"
2019,90802,70,"USA"
2020,90802,1100,"USA"
2021,90802,1260,"USA"
2022,90802,1470,"USA"
2023,90802,1730,"USA"
2024,90802,2030,"USA"
2025,90802,2380,"USA"
2026,90802,2790,"USA"
2027,90802,3250,"USA"
2028,90802,3750,"USA"
2029,90802,4240,"USA"
2030,90802,4820,"USA"
2018,90808,0,"USA"
2019,90808,0,"USA"
2020,90808,10,"USA"
2021,90808,20,"USA"
2022,90808,40,"USA"
2023,90808,60,"USA"
2024,90808,80,"USA"
2025,90808,110,"USA"
2026,90808,140,"USA"
2027,90808,180,"USA"
2028,90808,220,"USA"
2029,90808,260,"USA"
2030,90808,310,"USA"
2018,91006,0,"USA"
2019,91006,0,"USA"
2020,91006,10,"USA"
2021,91006,20,"USA"
2022,91006,40,"USA"
2023,91006,60,"USA"
2024,91006,80,"USA"
2025,91006,110,"USA"
2026,91006,140,"USA"
2027,91006,180,"USA"
2028,91006,220,"USA"
2029,91006,260,"USA"
2030,91006,310,"USA"
2018,91016,0,"USA"
2019,91016,0,"USA"
2020,91016,10,"USA"
2021,91016,20,"USA"
2022,91016,40,"USA"
2023,91016,60,"USA"
2024,91016,80,"USA"
2025,91016,110,"USA"
2026,91016,140,"USA"
2027,91016,180,"USA"
2028,91016,220,"USA"
2029,91016,260,"USA"
2030,91016,310,"USA"
2018,91303,0,"USA"
2019,91303,0,"USA"
2020,91303,0,"USA"
2021,91303,0,"USA"
2022,91303,0,"USA"
2023,91303,0,"USA"
2024,91303,0,"USA"
2025,91303,7.5,"USA"
2026,91303,22.5,"USA"
2027,91303,37.5,"USA"
2028,91303,52.5,"USA"
2029,91303,75,"USA"
2030,91303,97.5,"USA"
2018,91311,0,"USA"
2019,91311,0,"USA"
2020,91311,10.7913669064748,"USA"
2021,91311,21.5827338129496,"USA"
2022,91311,43.1654676258993,"USA"
2023,91311,64.7482014388489,"USA"
2024,91311,86.3309352517986,"USA"
2025,91311,118.705035971223,"USA"
2026,91311,151.079136690647,"USA"
2027,91311,183.453237410072,"USA"
2028,91311,226.618705035971,"USA"
2029,91311,269.784172661871,"USA"
2030,91311,323.741007194245,"USA"
2018,91320,0,"USA"
2019,91320,0,"USA"
2020,91320,0,"USA"
2021,91320,0,"USA"
2022,91320,0,"USA"
2023,91320,0,"USA"
2024,91320,0,"USA"
2025,91320,7.5,"USA"
2026,91320,22.5,"USA"
2027,91320,37.5,"USA"
2028,91320,52.5,"USA"
2029,91320,75,"USA"
2030,91320,97.5,"USA"
2018,91342,0,"USA"
2019,91342,0,"USA"
2020,91342,0,"USA"
2021,91342,0,"USA"
2022,91342,0,"USA"
2023,91342,0,"USA"
2024,91342,0,"USA"
2025,91342,7.5,"USA"
2026,91342,22.5,"USA"
2027,91342,37.5,"USA"
2028,91342,52.5,"USA"
2029,91342,75,"USA"
2030,91342,97.5,"USA"
2018,91343,0,"USA"
2019,91343,0,"USA"
2020,91343,0,"USA"
2021,91343,0,"USA"
2022,91343,0,"USA"
2023,91343,0,"USA"
2024,91343,0,"USA"
2025,91343,7.5,"USA"
2026,91343,22.5,"USA"
2027,91343,37.5,"USA"
2028,91343,52.5,"USA"
2029,91343,75,"USA"
2030,91343,97.5,"USA"
2018,91352,0,"USA"
2019,91352,0,"USA"
2020,91352,21.5827338129496,"USA"
2021,91352,43.1654676258993,"USA"
2022,91352,86.3309352517986,"USA"
2023,91352,129.496402877698,"USA"
2024,91352,172.661870503597,"USA"
2025,91352,244.910071942446,"USA"
2026,91352,324.658273381295,"USA"
2027,91352,404.406474820144,"USA"
2028,91352,505.737410071942,"USA"
2029,91352,614.568345323741,"USA"
2030,91352,744.982014388489,"USA"
2018,91355,0,"USA"
2019,91355,0,"USA"
2020,91355,10.7913669064748,"USA"
2021,91355,21.5827338129496,"USA"
2022,91355,43.1654676258993,"USA"
2023,91355,64.7482014388489,"USA"
2024,91355,86.3309352517986,"USA"
2025,91355,118.705035971223,"USA"
2026,91355,151.079136690647,"USA"
