path_id,refuel_at,fuel_km
74,72,216.0
74,51,88.0
74,4,131.0
75,4,131.0
75,51,88.0
75,19,106.0
75,72,168.0
76,44,229.0
76,18,145.0
76,67,207.0
76,17,39.0
77,18,145.0
77,67,207.0
77,32,22.0
77,44,229.0
77,34,122.0
77,17,39.0
78,67,207.0
78,44,229.0
78,18,145.0
78,17,39.0
79,18,120.0
79,67,207.0
79,17,39.0
79,44,229.0
80,32,22.0
80,18,120.0
80,34,122.0
80,67,207.0
80,17,39.0
80,44,229.0
81,67,207.0
81,17,39.0
81,18,120.0
81,44,229.0
82,67,207.0
82,44,229.0
82,18,163.0
82,17,39.0
83,17,39.0
83,18,163.0
83,34,122.0
83,32,22.0
83,44,229.0
83,67,207.0
84,67,207.0
84,44,229.0
84,18,163.0
84,17,39.0
85,63,234.0
85,67,129.0
86,63,234.0
86,67,129.0
86,32,22.0
86,34,122.0
87,63,234.0
87,67,129.0
88,32,147.0
90,32,132.0
91,34,22.0
91,32,132.0
93,34,125.0
93,32,22.0
94,32,177.0
95,32,177.0
96,34,182.0
97,19,228.0
97,44,223.0
97,67,207.0
98,67,207.0
98,19,228.0
98,34,122.0
98,32,22.0
98,44,223.0
99,19,228.0
99,67,207.0
99,44,223.0
100,67,207.0
100,19,211.0
100,44,223.0
101,19,211.0
101,67,207.0
101,34,122.0
101,44,223.0
101,32,22.0
102,67,207.0
102,19,211.0
102,44,223.0
103,19,194.0
103,67,207.0
103,44,223.0
104,32,22.0
104,19,194.0
104,67,207.0
104,34,122.0
104,44,223.0
105,44,223.0
105,67,207.0
105,19,194.0
106,34,184.0
107,34,184.0
107,32,22.0
108,34,184.0
109,32,120.0
109,70,184.0
110,32,120.0
110,70,184.0
111,70,184.0
111,34,125.0
112,44,229.0
112,17,193.0
112,67,207.0
113,34,122.0
113,44,229.0
113,17,193.0
113,67,207.0
113,32,22.0
114,67,207.0
114,44,229.0
114,17,193.0
115,17,190.0
115,67,207.0
115,44,229.0
116,67,207.0
116,44,229.0
116,17,190.0
116,34,122.0
116,32,22.0
117,44,229.0
117,67,207.0
117,17,190.0
118,44,223.0
118,67,207.0
118,19,120.0
119,32,22.0
119,34,122.0
