orig_node_id,dest_node_id,trip_count,path_id
5,35,61.166666666666664,102
6,29,61.166666666666664,103
6,31,61.166666666666664,104
6,35,61.166666666666664,105
37,29,4611.0,106
37,31,4611.0,107
37,35,4611.0,108
39,29,2283.3333333333335,109
39,31,2283.3333333333335,110
39,35,2283.3333333333335,111
14,29,25.0,112
14,31,25.0,113
14,35,25.0,114
15,29,25.0,115
15,31,25.0,116
15,35,25.0,117
19,29,89.66666666666667,118
19,31,89.66666666666667,119
19,35,89.66666666666667,120
16,29,70.33333333333333,121
16,31,70.33333333333333,122
16,35,70.33333333333333,123
17,29,125.33333333333333,124
17,31,125.33333333333333,125
17,35,125.33333333333333,126
1,29,3.6666666666666665,127
1,31,3.6666666666666665,128
1,35,3.6666666666666665,129
2,29,8.0,130
2,31,8.0,131
2,35,8.0,132
13,33,56.0,133
18,33,56.0,134
12,33,132.0,135
25,33,339.0,136
29,33,11739.666666666666,137
31,33,11739.666666666666,138
35,33,11739.666666666666,139
7,33,16.0,140
5,33,35.0,141
6,33,35.0,142
37,33,4856.0,143
39,33,3157.0,144
14,33,17.0,145
15,33,17.0,146
19,33,63.0,147
16,33,44.0,148
17,33,100.0,149
1,33,8.0,150
2,33,8.0,151
13,7,56.5,152
18,7,56.5,153
12,7,111.0,154
25,7,36.0,155
29,7,16.666666666666668,156
31,7,16.666666666666668,157
35,7,16.666666666666668,158
33,7,16.0,159
5,7,2695.5,160
6,7,2695.5,161
37,7,1.0,162
39,7,10.0,163
14,7,28.5,164
15,7,28.5,165
19,7,128.0,166
16,7,47.0,167
17,7,62.0,168
1,7,7.0,169
2,7,19.0,170
13,5,105.5,171
13,6,105.5,172
18,5,105.5,173
18,6,105.5,174
12,5,198.0,175
12,6,198.0,176
25,5,96.0,177
25,6,96.0,178
29,5,33.333333333333336,179
29,6,33.333333333333336,180
31,5,33.333333333333336,181
31,6,33.333333333333336,182
35,5,33.333333333333336,183
35,6,33.333333333333336,184
33,5,19.0,185
33,6,19.0,186
7,5,2598.0,187
7,6,2598.0,188
5,6,39323.5,189
6,5,39323.5,190
37,5,11.5,191
37,6,11.5,192
39,5,24.0,193
39,6,24.0,194
14,5,47.0,195
14,6,47.0,196
15,5,47.0,197
15,6,47.0,198
19,5,1294.5,199
19,6,1294.5,200
16,5,98.5,201
16,6,98.5,202
17,5,118.5,203
17,6,118.5,204
1,5,11.0,205
1,6,11.0,206
2,5,13.0,207
2,6,13.0,208
13,37,32.0,209
18,37,32.0,210
12,37,55.0,211
25,37,171.0,212
29,37,4517.0,213
31,37,4517.0,214
35,37,4517.0,215
33,37,5094.0,216
7,37,13.0,217
5,37,22.5,218
6,37,22.5,219
39,37,1762.0,220
14,37,9.5,221
15,37,9.5,222
19,37,33.0,223
16,37,30.0,224
17,37,53.0,225
1,37,2.0,226
2,37,0.0,227
13,39,42.5,228
18,39,42.5,229
12,39,103.0,230
25,39,176.0,231
29,39,1341.6666666666667,232
31,39,1341.6666666666667,233
35,39,1341.6666666666667,234
33,39,2663.0,235
7,39,5.0,236
5,39,27.5,237
6,39,27.5,238
37,39,976.0,239
14,39,8.5,240
15,39,8.5,241
19,39,36.0,242
16,39,25.0,243
17,39,77.0,244
1,39,2.0,245
2,39,10.0,246
13,14,4390.0,247
13,15,4390.0,248
18,14,4390.0,249
18,15,4390.0,250
12,14,3937.0,251
12,15,3937.0,252
25,14,50.5,253
25,15,50.5,254
29,14,16.5,255
29,15,16.5,256
31,14,16.5,257
31,15,16.5,258
35,14,16.5,259
35,15,16.5,260
33,14,19.0,261
33,15,19.0,262
7,14,26.5,263
7,15,26.5,264
5,14,66.75,265
5,15,66.75,266
6,14,66.75,267
6,15,66.75,268
37,14,7.5,269
37,15,7.5,270
39,14,22.0,271
39,15,22.0,272
14,15,108533.5,273
15,14,108533.5,274
19,14,234.5,275
19,15,234.5,276
16,14,7537.0,277
16,15,7537.0,278
17,14,7988.5,279
17,15,7988.5,280
1,14,4.0,281
1,15,4.0,282
2,14,6.0,283
2,15,6.0,284
13,19,789.5,285
18,19,789.5,286
12,19,1340.0,287
25,19,212.0,288
29,19,44.666666666666664,289
31,19,44.666666666666664,290
35,19,44.666666666666664,291
33,19,47.0,292
7,19,125.0,293
