path_id,orig_node_id,dest_node_id,node_seq,node_id
28,19,13,1,20
28,19,13,2,18
28,19,13,3,13
29,19,18,0,19
29,19,18,1,20
29,19,18,2,18
30,16,13,0,16
30,16,13,1,15
30,16,13,2,14
30,16,13,3,13
31,16,18,0,16
31,16,18,1,41
31,16,18,2,18
32,17,13,0,17
32,17,13,1,18
32,17,13,2,13
33,17,18,0,17
33,17,18,1,18
34,1,13,0,1
34,1,13,1,76
34,1,13,2,75
34,1,13,3,2
34,1,13,4,74
34,1,13,5,73
34,1,13,6,72
34,1,13,7,71
34,1,13,8,3
34,1,13,9,11
34,1,13,10,40
34,1,13,11,12
34,1,13,12,13
35,1,18,0,1
35,1,18,1,76
35,1,18,2,75
35,1,18,3,2
35,1,18,4,74
35,1,18,5,73
35,1,18,6,72
35,1,18,7,71
35,1,18,8,3
35,1,18,9,11
35,1,18,10,40
35,1,18,11,12
35,1,18,12,13
35,1,18,13,18
36,2,13,0,2
36,2,13,1,74
36,2,13,2,73
36,2,13,3,72
36,2,13,4,71
36,2,13,5,3
36,2,13,6,11
36,2,13,7,40
36,2,13,8,12
36,2,13,9,13
37,2,18,0,2
37,2,18,1,74
37,2,18,2,73
37,2,18,3,72
37,2,18,4,71
37,2,18,5,3
37,2,18,6,11
37,2,18,7,40
37,2,18,8,12
37,2,18,9,13
37,2,18,10,18
38,13,12,0,13
38,13,12,1,12
39,18,12,0,18
39,18,12,1,13
39,18,12,2,12
40,25,12,0,25
40,25,12,1,54
40,25,12,2,53
40,25,12,3,52
40,25,12,4,24
40,25,12,5,51
40,25,12,6,23
40,25,12,7,50
40,25,12,8,19
40,25,12,9,20
40,25,12,10,18
40,25,12,11,13
40,25,12,12,12
41,29,12,0,29
41,29,12,1,28
41,29,12,2,27
41,29,12,3,68
41,29,12,4,67
41,29,12,5,22
41,29,12,6,48
41,29,12,7,47
41,29,12,8,46
41,29,12,9,45
41,29,12,10,44
41,29,12,11,43
41,29,12,12,21
41,29,12,13,42
41,29,12,14,17
41,29,12,15,18
41,29,12,16,13
41,29,12,17,12
42,31,12,0,31
42,31,12,1,32
42,31,12,2,34
42,31,12,3,35
42,31,12,4,38
42,31,12,5,27
42,31,12,6,68
42,31,12,7,67
42,31,12,8,22
42,31,12,9,48
42,31,12,10,47
42,31,12,11,46
42,31,12,12,45
42,31,12,13,44
42,31,12,14,43
42,31,12,15,21
42,31,12,16,42
42,31,12,17,17
42,31,12,18,18
42,31,12,19,13
42,31,12,20,12
43,35,12,0,35
43,35,12,1,38
